Rodada,Tempo(ms),Trocas,Iteracoes
1,175627,62489246279,124978992558
2,175411,62525579861,125051659722
3,175512,62511955729,125024411458
4,175592,62557614869,125115729738
5,175012,62406086668,124812673336
