Rodada,Tempo(ms),Trocas,Iteracoes
1,8821,2502485182,5005070364
2,7021,2494432026,4988964052
3,6941,2509143934,5018387868
4,6992,2504834532,5009769064
5,6914,2495112793,4990325586
